source,target
pub.1060431605,pub.1039060951
pub.1060431605,pub.1060421007
pub.1060431605,pub.1060429403
pub.1060431605,pub.1060430065
pub.1060431529,pub.1060422527
pub.1060431529,pub.1029609788
pub.1060431529,pub.1060423899
pub.1060431529,pub.1060464013
pub.1060431529,pub.1060423121
pub.1060431529,pub.1039060951
pub.1060431529,pub.1060426238
pub.1060431524,pub.1060427225
pub.1060430927,pub.1060421237
pub.1060430927,pub.1039060951
pub.1060430927,pub.1060426238
pub.1060430927,pub.1060427561
pub.1060430065,pub.1060421284
pub.1060430065,pub.1060428543
pub.1060430065,pub.1060421687
pub.1060430065,pub.1060423347
pub.1060430065,pub.1039060951
pub.1060430035,pub.1060423899
pub.1060430035,pub.1060429029
pub.1060430035,pub.1029609788
pub.1060430035,pub.1039060951
pub.1060430034,pub.1060429406
pub.1060430034,pub.1039060951
pub.1060429860,pub.1060422527
pub.1060429860,pub.1060428605
pub.1060429860,pub.1060421484
pub.1060429860,pub.1060430035
pub.1060429860,pub.1060427225
pub.1060429860,pub.1060427483
pub.1060429860,pub.1060424779
pub.1060429406,pub.1060422527
pub.1060429406,pub.1039060951
pub.1060429403,pub.1060422527
pub.1060429403,pub.1039060951
pub.1060429029,pub.1012002888
pub.1060429029,pub.1039060951
pub.1060428605,pub.1060421484
pub.1060428605,pub.1060422527
pub.1060428605,pub.1060424779
pub.1060428580,pub.1060424888
pub.1060428580,pub.1039060951
pub.1060428580,pub.1060423640
pub.1060428562,pub.1060464013
pub.1060428562,pub.1060420047
pub.1060428562,pub.1029609788
pub.1060428562,pub.1039060951
pub.1060428543,pub.1060421687
pub.1060428543,pub.1039060951
pub.1060428543,pub.1060421284
pub.1060428471,pub.1039060951
pub.1060428458,pub.1060426238
pub.1060428458,pub.1060426320
pub.1060428199,pub.1039060951
pub.1060427561,pub.1039060951
pub.1060427561,pub.1060426463
pub.1060427483,pub.1060422527
pub.1060427483,pub.1039060951
pub.1060427483,pub.1060421694
pub.1060427483,pub.1029609788
pub.1060427483,pub.1043148504
pub.1060427225,pub.1026641682
pub.1060427225,pub.1016890272
pub.1060427225,pub.1043148504
pub.1060427225,pub.1060421010
pub.1060427225,pub.1060421284
pub.1060427225,pub.1060423781
pub.1060427225,pub.1060423587
pub.1060427225,pub.1039060951
pub.1060427198,pub.1060424279
pub.1060427198,pub.1060426320
pub.1060427198,pub.1039060951
pub.1060426463,pub.1060421007
pub.1060426320,pub.1060424279
pub.1060426320,pub.1060420047
pub.1060426320,pub.1039060951
pub.1060426320,pub.1060423640
pub.1060426238,pub.1029609788
pub.1060426238,pub.1060421284
pub.1060426238,pub.1060423899
pub.1060426238,pub.1039060951
pub.1060425535,pub.1060421284
pub.1060425535,pub.1039060951
pub.1060425535,pub.1029609788
pub.1060425535,pub.1060423899
pub.1060424888,pub.1039060951
pub.1060424888,pub.1060420047
pub.1060424779,pub.1016890272
pub.1060424779,pub.1060421484
pub.1060424779,pub.1060421010
pub.1060424779,pub.1060420507
